product_id,product_length,product_depth,product_width,cluster_id,hierarchy5_id
P0000,5.0,20.0,12.0,,H0004010534
P0001,13.5,22.0,20.0,cluster_5,H0105010006
P0002,22.0,40.0,22.0,cluster_0,H0315080028
P0004,2.0,13.0,4.0,cluster_3,H0314050003
P0005,16.0,30.0,16.0,cluster_9,H0312110917
P0006,8.5,15.0,15.0,cluster_0,H0316081708
P0007,2.0,22.0,9.5,cluster_4,H0313051904
P0008,5.0,16.0,5.0,cluster_0,H0000040017
P0009,5.0,18.0,14.0,cluster_6,H0002010012
P0010,2.0,22.0,3.0,cluster_0,H0108010917
P0011,9.0,22.0,15.0,cluster_0,H0315061202
P0012,10.0,20.0,12.3,cluster_0,H0107021001
P0013,7.1,27.5,13.7,,H0105030906
P0014,32.5,6.0,33.0,cluster_0,H0313020501
P0015,10.0,33.0,10.0,cluster_1,H0000030901
P0016,2.0,18.0,8.0,cluster_0,H0004010512
P0017,8.0,28.0,8.0,cluster_6,H0000031001
P0018,1.0,14.0,11.0,cluster_4,H0003160922
P0019,1.5,42.0,32.0,cluster_0,H0312010004
P0020,5.0,28.0,16.0,cluster_0,H0311090101
P0021,8.0,26.0,23.0,cluster_0,H0313021002
P0022,5.7,18.6,10.1,cluster_0,H0108090012
P0023,1.0,1.0,1.0,,H0004030536
P0024,1.0,23.0,16.0,cluster_0,H0314040701
P0025,33.0,6.0,20.0,cluster_0,H0312071003
P0026,4.0,22.0,16.0,cluster_6,H0002010522
P0027,5.0,28.0,16.0,cluster_0,H0311080502
P0028,3.4,11.3,12.0,cluster_0,H0313021001
P0029,2.5,18.0,8.0,cluster_0,H0315041131
P0030,9.0,9.0,37.0,cluster_0,H0312050800
P0031,,,,cluster_0,H0004021202
P0032,5.0,12.0,4.0,cluster_0,H0312071025
P0033,5.0,28.0,16.0,cluster_0,H0311090001
P0035,3.0,17.0,12.5,cluster_7,H0003110017
P0036,6.0,20.0,10.0,cluster_9,H0004010539
P0037,3.5,10.5,3.5,cluster_0,H0108091301
P0038,5.0,21.5,5.0,cluster_0,H0108050033
P0039,11.5,28.0,27.0,cluster_9,H0105010012
P0040,7.0,26.5,7.0,,H0312040000
P0041,5.0,28.0,16.0,cluster_6,H0311090001
P0042,1.0,16.0,10.0,cluster_0,H0108110043
P0043,3.5,23.0,32.0,cluster_0,H0317021212
P0044,1.0,10.0,5.0,cluster_0,H0315041121
P0045,3.0,17.0,12.5,cluster_3,H0003110012
P0046,1.7,11.1,9.6,cluster_0,H0108090006
P0047,5.0,28.0,16.0,cluster_0,H0311090002
P0048,29.3,14.7,19.8,cluster_0,H0107021201
P0049,2.0,40.0,10.0,cluster_0,H0313051829
P0050,6.9,6.0,6.9,cluster_9,H0108081512
P0051,1.7,17.5,4.5,cluster_7,H0003140912
P0053,5.0,40.0,40.0,cluster_3,H0311010124
P0054,8.5,14.6,8.5,cluster_9,H0002011001
P0055,2.3,18.5,13.5,cluster_0,H0003110906
P0056,,12.0,10.0,,H0314010203
P0057,4.0,22.0,9.0,cluster_0,H0108070901
P0058,3.0,21.0,8.0,cluster_0,H0004010017
P0059,9.1,29.7,13.2,cluster_0,H0105010506
P0060,7.5,20.5,5.4,cluster_0,H0106001333
