product_id,store_id,date,sales,revenue,stock,price,promo_type_1,sales_id
P0499,S0111,2019-07-05,3.0,2.78,10.0,0.75,PR14,2261064122461234591
P0398,S0026,2018-10-15,0.0,0.0,10.0,34.9,PR10,8432560554814279958
P0608,S0139,2018-04-15,0.0,0.0,6.0,9.9,PR05,3969422471341764982
P0015,S0125,2018-02-19,0.0,0.0,11.0,3.5,PR14,4423551304864813937
P0402,S0060,2017-11-23,0.0,0.0,4.0,7.75,PR14,2452820388926550460
P0296,S0109,2019-11-16,,,,1.0,PR14,7171195716171868408
P0671,S0072,2018-09-12,0.0,0.0,12.0,3.75,PR14,1502131717765755416
P0514,S0032,2017-01-17,0.0,0.0,1.0,8.9,PR14,8377471222178052115
P0302,S0048,2018-09-03,0.0,0.0,3.0,139.9,PR14,7900604402531873793
P0435,S0132,2019-09-29,0.0,0.0,7.0,34.9,PR14,5062723671433655248
P0682,S0022,2017-04-10,1.0,3.94,21.0,4.25,PR14,1366480525417999377
P0261,S0104,2018-05-17,4.0,16.3,46.0,4.4,PR14,6323028496338662891
P0071,S0110,2018-01-13,0.0,0.0,6.0,9.45,PR05,1286497138106491107
P0280,S0095,2018-01-15,0.0,0.0,21.0,7.25,PR14,6377222655170978920
P0241,S0105,2017-03-01,0.0,0.0,4.0,12.95,PR14,616003705564018397
P0226,S0055,2018-07-02,0.0,0.0,6.0,1.9,PR14,4991218935428863852
P0177,S0015,2017-12-28,0.0,0.0,29.0,10.9,PR14,4144211838143062311
P0211,S0012,2019-04-27,0.0,0.0,2.0,16.95,PR14,3467032075818966506
P0171,S0120,2019-07-08,0.0,0.0,6.0,17.9,PR14,3405000232018521994
P0642,S0128,2018-08-17,0.0,0.0,22.0,,PR14,322128625327530044
P0454,S0013,2018-07-12,0.0,0.0,14.0,2.45,PR14,5071181407755108661
P0241,S0117,2018-06-09,0.0,0.0,12.0,12.95,PR14,7017000610643872637
P0258,S0008,2018-06-26,0.0,0.0,12.0,7.95,PR14,1453131978983292591
P0229,S0097,2018-10-25,0.0,0.0,8.0,12.5,PR14,1653021417751358701
P0390,S0036,2019-06-02,0.0,0.0,9.0,17.9,PR14,3165151270491724726
P0427,S0074,2018-01-02,0.0,0.0,13.0,1.95,PR14,7984953295531812923
P0035,S0033,2017-01-07,0.0,0.0,2.0,2.45,PR14,8375886709514693999
P0664,S0095,2017-02-02,6.0,6.94,7.0,1.25,PR14,2277244456502857136
P0448,S0107,2017-02-17,0.0,0.0,31.0,4.95,PR14,8360983390610713762
P0125,S0127,2018-08-27,0.0,0.0,14.0,3.5,PR14,4941497215692348053
P0500,S0141,2018-01-27,0.0,0.0,3.0,6.45,PR14,5185412462721611905
P0390,S0131,2017-04-16,0.0,0.0,6.0,11.9,PR14,5019469001902882155
P0220,S0067,2019-11-17,,,,3.25,PR14,121103214399444572
P0737,S0070,2019-01-16,0.0,0.0,6.0,13.95,PR14,5759226203301991739
P0660,S0083,2017-09-14,0.0,0.0,3.0,5.95,PR14,214435700989873473
P0195,S0137,2018-04-15,0.0,0.0,6.0,5.95,PR14,7118488349549674031
P0732,S0031,2017-06-19,0.0,0.0,5.0,8.95,PR14,18558996322127448
P0470,S0058,2018-03-28,0.0,0.0,5.0,23.25,PR14,5305915596264217426
P0428,S0092,2019-07-02,0.0,0.0,4.0,29.95,PR14,8772172636655415014
P0500,S0083,2018-12-30,0.0,0.0,8.0,12.0,PR14,3573899486485328807
P0138,S0101,2018-09-13,0.0,0.0,11.0,19.9,PR14,672634541800926596
P0362,S0018,2018-12-04,0.0,0.0,3.0,7.75,PR14,4857383169695210170
P0296,S0009,2017-04-06,0.0,0.0,10.0,0.75,PR14,707380935169752211
P0130,S0043,2019-11-27,,,,14.5,PR05,3589554311886418221
P0390,S0027,2019-08-23,0.0,0.0,2.0,17.9,PR14,6778376711660111108
P0206,S0049,2018-01-05,0.0,0.0,17.0,1.75,PR14,3586044215299192926
P0216,S0028,2018-03-13,0.0,0.0,3.0,,PR14,3935198755340348947
P0372,S0026,2017-01-26,0.0,0.0,282.0,2.9,PR14,1021057674630825494
P0353,S0043,2019-01-17,0.0,0.0,3.0,14.9,PR14,32742823307234249
P0424,S0142,2019-05-30,0.0,0.0,2.0,49.9,PR14,9166776710441758845
P0311,S0138,2017-08-28,0.0,0.0,4.0,1.0,PR14,4768261567133204814
P0572,S0019,2017-08-27,0.0,0.0,16.0,1.0,PR14,8066096483453581797
P0024,S0056,2017-12-06,0.0,0.0,38.0,1.9,PR14,6849186404906303179
P0218,S0013,2019-03-16,0.0,0.0,4.0,23.0,PR14,2437067199886814566
P0071,S0028,2019-02-18,0.0,0.0,12.0,11.9,PR14,8900003843269255262
P0148,S0103,2018-02-03,0.0,0.0,4.0,5.95,PR14,647203205957097676
P0565,S0028,2018-07-08,1.0,2.69,17.0,,PR14,7600214558316653336
P0569,S0090,2019-03-05,0.0,0.0,21.0,4.15,PR14,7965945770571066871
P0747,S0078,2017-09-07,0.0,0.0,2.0,13.25,PR14,2999892949740843362
P0015,S0042,2019-05-26,0.0,0.0,17.0,4.4,PR14,7283044027811391500
P0658,S0083,2018-03-23,0.0,0.0,3.0,29.95,PR14,7323426572757663263
P0015,S0051,2017-04-02,0.0,0.0,14.0,2.85,PR14,7839922756307126561
P0454,S0087,2018-08-18,0.0,0.0,20.0,2.75,PR14,1466850546330495434
P0275,S0034,2017-03-04,0.0,0.0,19.0,2.45,PR14,2745802419617861701
P0655,S0102,2019-06-14,0.0,0.0,2.0,99.9,PR14,9212615945427057554
P0499,S0038,2019-04-15,3.0,2.08,36.0,0.75,PR14,8470864856674162101
P0260,S0070,2018-12-11,0.0,0.0,7.0,23.9,PR14,665036038998202927
